m,G_m_0,G_m_1,G_m_2,G_m_3,G_m_4
0,1,1,1,1,1
1,1,2,4,8,16
2,3,10,34,118,418
3,19,98,526,2942,17158
4,219,1678,13618,117286,1073506
5,4231,46922,559654,7195958,99954766
6,130023,2049550,35206834,660822358,13589618818
7,6129859,135499898,3301531846,88931884742,2656755318478
8,431723379,13243258318,452274696418,17250697648246,737514693909586
9,44511042511,1878894285002,89077635721894,4759215340095638,287683670494241806
10,6611065248783,381362574101710,24901395717678994,1847052091786573078,156296388449456749858
11,1396281677105899,109430505055180058,9775895465678639686,999208523732653011302,117381881045231018703118
12,414864951055853499,43954986389427881998,5341976869617159075778,747640657240669159797046,121075734306461841777795826
13,171850728381587059351,24508712037068391623402,4032518615672541333691174,768599412047968397655319478,170560095930188524679843339086
14,98484324257128207032183,18835419731708228516982670,4177918152562844767457824114,1079396516088637321967914136278,326539425308444824125092182041538
15,77567171020440688353049939,19828793128398628087131589178,5907591811646289112930164831046,2060461398693819222679181880377222,846002793378179474085677125510787278
16,83480529785490157813844256579,28441643117705315333254490986318,11344858065618251316427764256980898,5322963351172775869497071016032650486,2954997625790351969485154266039478036626
